ticker,matched_market_date,sentiment_mean,close,daily_return,article_count,ai_innovation,collaboration,leadership,regulation,litigation
MSFT,2024-04-02,-0.3146,421.44,-0.0074,1,0,0,0,1,0
MSFT,2024-04-03,0.37355,420.45,-0.0023,2,1,1,0,0,0
MSFT,2024-04-04,0.1743,417.88,-0.0061,1,1,0,0,0,0
MSFT,2024-04-08,0.3643,424.59,-0.0022,1,0,0,1,0,0
MSFT,2024-04-09,0.4539,426.28,0.004,1,0,1,0,0,0
MSFT,2024-04-10,0.8725,423.26,-0.0071,1,0,1,0,0,0
MSFT,2024-04-12,-0.0449,421.9,-0.0141,1,0,1,0,0,0
MSFT,2024-04-15,0.2442,413.64,-0.0196,1,0,0,1,0,0
MSFT,2024-04-18,0.2898,404.27,-0.0184,2,1,0,1,0,0
MSFT,2024-04-22,0.3361,400.96,0.0046,1,1,0,0,0,0
MSFT,2024-04-23,0.4331,407.57,0.0165,1,1,0,0,0,0
MSFT,2024-04-25,0.2941,399.04,-0.0245,1,1,0,0,0,0
MSFT,2024-04-26,0.17005,406.32,0.0182,2,1,0,1,0,0
MSFT,2024-04-30,0.4015,389.33,-0.0321,1,1,0,0,0,0
MSFT,2024-05-02,0.3676,397.84,0.0073,2,0,2,0,0,0
MSFT,2024-05-03,0.3205,406.66,0.0222,1,0,1,0,0,0
MSFT,2024-05-07,0.458,409.34,-0.0102,1,1,0,0,0,0
MSFT,2024-05-08,0.45857499999999995,410.54,0.0029,4,3,1,0,0,0
MSFT,2024-05-10,0.4117,414.74,0.0059,1,0,0,1,0,0
MSFT,2024-05-14,0.747,416.56,0.0069,1,1,0,0,0,0
MSFT,2024-05-15,0.13069999999999998,423.08,0.0175,2,1,1,0,0,0
MSFT,2024-05-20,0.4568,425.34,0.0122,1,1,0,0,0,0
MSFT,2024-05-21,0.3009,429.04,0.0087,1,0,1,0,0,0
MSFT,2024-05-22,0.1838,430.52,0.0034,1,0,1,0,0,0
MSFT,2024-05-23,0.2213,427.0,-0.0082,2,1,0,0,0,0
MSFT,2024-05-24,0.1329,430.16,0.0074,1,0,0,1,0,0
MSFT,2024-05-29,0.3555,429.17,-0.0027,1,0,0,0,1,0
MSFT,2024-06-06,-0.6467,424.52,0.0012,1,1,0,0,0,0
MSFT,2024-06-07,0.306,423.85,-0.0016,2,0,1,0,0,1
MSFT,2024-06-10,-0.1789,427.87,0.0095,2,0,0,0,0,0
MSFT,2024-06-11,0.2839,432.68,0.0112,1,0,0,1,0,0
MSFT,2024-06-13,0.3527,441.58,0.0012,2,0,0,1,0,0
MSFT,2024-06-14,-0.04303333333333335,442.57,0.0022,3,0,0,2,1,0
MSFT,2024-06-18,0.3078666666666667,446.34,-0.0045,6,6,0,0,0,0
MSFT,2024-06-25,0.499,450.95,0.0073,1,1,0,0,0,0
MSFT,2024-06-26,0.3819,452.16,0.0027,1,0,0,0,0,0
MSFT,2024-06-27,0.365,452.85,0.0015,1,1,0,0,0,0
MSFT,2024-07-02,0.196,459.28,0.0056,1,0,0,0,0,1
MSFT,2024-07-03,-0.2167,460.77,0.0032,1,0,1,0,0,0
MSFT,2024-07-10,0.21753333333333336,466.25,0.0146,3,1,1,0,1,0
MSFT,2024-07-11,0.3997,454.7,-0.0248,1,1,0,0,0,0
MSFT,2024-07-12,0.8111,453.55,-0.0025,1,1,0,0,0,0
MSFT,2024-07-15,0.3044,453.96,0.0009,1,0,0,0,0,0
MSFT,2024-07-18,0.4668,440.37,-0.0071,1,0,0,0,0,0
MSFT,2024-07-19,-0.2393,437.11,-0.0074,1,1,0,0,0,0
MSFT,2024-07-24,0.0009500000000000064,428.9,-0.0359,2,1,1,0,0,0
MSFT,2024-07-25,-0.3444,418.4,-0.0245,1,0,0,0,0,0
MSFT,2024-07-26,0.47520000000000007,425.27,0.0164,3,2,0,1,0,0
MSFT,2024-07-30,0.029449999999999997,422.92,-0.0089,2,2,0,0,0,0
MSFT,2024-07-31,0.0095,418.35,-0.0108,1,0,1,0,0,0
MSFT,2024-08-01,0.3985,417.11,-0.003,1,1,0,0,0,0
MSFT,2024-08-02,0.3929,408.49,-0.0207,2,2,0,0,0,0
MSFT,2024-08-05,0.3967,395.15,-0.0327,1,0,1,0,0,0
MSFT,2024-08-06,0.3459,399.61,0.0113,1,0,1,0,0,0
MSFT,2024-08-08,0.775,402.69,0.0107,1,1,0,0,0,0
MSFT,2024-08-09,-0.2416,406.02,0.0083,1,0,0,1,0,0
MSFT,2024-08-12,0.2576,406.81,0.0019,1,0,0,1,0,0
MSFT,2024-08-15,0.3493,421.03,0.0118,1,0,0,0,0,0
MSFT,2024-08-16,0.12085,418.47,-0.0061,2,0,0,1,0,0
MSFT,2024-08-23,0.5138,416.79,0.003,1,0,1,0,0,0
MSFT,2024-08-26,0.3847,413.49,-0.0079,1,0,0,0,0,0
MSFT,2024-08-27,0.1807,413.84,0.0008,1,0,0,1,0,0
MSFT,2024-08-29,0.06295,413.12,0.0061,2,2,0,0,0,0
MSFT,2024-09-03,0.10055,409.44,-0.0185,2,1,1,0,0,0
MSFT,2024-09-10,0.0214,414.2,0.0209,1,1,0,0,0,0
MSFT,2024-09-11,0.58335,423.04,0.0213,2,2,0,0,0,0
MSFT,2024-09-12,0.09369999999999999,427.0,0.0094,2,1,1,0,0,0
MSFT,2024-09-16,-0.2128,431.34,0.0017,1,1,0,0,0,0
MSFT,2024-09-17,0.1873,435.15,0.0088,1,0,1,0,0,0
MSFT,2024-09-18,0.2397,430.81,-0.01,1,0,0,0,1,0
